date,genre,percentage_in_year,decade
1970,country,0.1700787401574803,70s
1971,country,0.18849840255591055,70s
1972,country,0.19476268412438624,70s
1973,country,0.20917431192660552,70s
1974,country,0.22018348623853212,70s
1975,country,0.2013888888888889,70s
1976,country,0.20397111913357402,70s
1977,country,0.20224719101123595,70s
1978,country,0.19801980198019803,70s
1979,country,0.17158671586715868,70s
1980,country,0.22134387351778656,80s
1981,country,0.20582120582120583,80s
1982,country,0.17913385826771652,80s
1983,country,0.13152804642166344,80s
1984,country,0.07554671968190854,80s
1985,country,0.06991525423728813,80s
1986,country,0.07860262008733625,80s
1987,country,0.06167400881057269,80s
1988,country,0.0391304347826087,80s
1989,country,0.05228758169934641,80s
1990,country,0.03587443946188341,90s
1991,country,0.037444933920704845,90s
1992,country,0.04009433962264151,90s
1993,country,0.05665024630541872,90s
1994,country,0.07808564231738035,90s
1995,country,0.04358974358974359,90s
1996,country,0.036827195467422094,90s
1997,country,0.05714285714285714,90s
1998,country,0.1411764705882353,90s
1999,country,0.25063291139240507,90s
2000,country,0.21882951653944022,00s
2001,country,0.21081081081081082,00s
2002,country,0.1801566579634465,00s
2003,country,0.19843342036553524,00s
2004,country,0.21220159151193635,00s
2005,country,0.21904761904761905,00s
2006,country,0.18141592920353983,00s
2007,country,0.17539863325740318,00s
2008,country,0.1600831600831601,00s
2009,country,0.173828125,00s
2010,country,0.15495495495495495,10s
2011,country,0.17781690140845072,10s
2012,country,0.19599109131403117,10s
2013,country,0.20545073375262055,10s
2014,country,0.21218961625282168,10s
2015,country,0.17255717255717257,10s
2016,country,0.15294117647058825,10s
2017,country,0.13703703703703704,10s
2018,country,0.08797653958944282,10s
2019,country,0.125,10s
1960,blues,0.2216117216117216,60s
1961,blues,0.23684210526315788,60s
1962,blues,0.1996879875195008,60s
1963,blues,0.1805111821086262,60s
1964,blues,0.1688125894134478,60s
1965,blues,0.14884393063583815,60s
1966,blues,0.1031636863823934,60s
1967,blues,0.12413793103448276,60s
1968,blues,0.1661631419939577,60s
1969,blues,0.15712187958883994,60s
1970,blues,0.14173228346456693,70s
1971,blues,0.14057507987220447,70s
1972,blues,0.14566284779050737,70s
1973,blues,0.12293577981651377,70s
